Numero,Nome,Sesso,Attività,Paesi di prima pubblicazione,Mercati,Editori,Insegna presso
,"Sclavi, Tiziano",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, The Walt Disney Company, Feltrinelli Editore",
,"Manara, Maurilio",,"Disegni, Autore unico","FR, IT, US",GN,"Panini Comics, Arnoldo Mondadori Editore, COMICON Edizioni, Marvel Comics",
,"Rech, Michele",M,Autore unico,IT,GN,BAO Publishing,
,"Ortolani, Leonardo",M,Autore unico,IT,"P, GN","BAO Publishing, Panini Comics, Feltrinelli Editore",
,"Andolfo, Mirka",F,"Disegni, Colori, Autrice unica","IT, US","P, GN","Panini Comics, Marvel Comics, BD",
,"Pacinotti, Gian Alfonso",M,Autore unico,"FR, IT",GN,"Coconino Press, Futuropolis, Actes Sud, Editions Gallimard Jeunesse",
,"Cioffi, Jessica",F,Disegni,IT,GN,Shockdom,
,"Vietti, Stefano",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Enoch, Luca",M,"Disegni, Sceneggiatura",IT,P,Sergio Bonelli Editore,
,"Calderone, Quirino",M,Disegni,IT,P,"Sergio Bonelli Editore, Bugs Comics",La scuola del fumetto (Cosenza)
,"Marchisio, Giada",F,Colori,IT,P,Sergio Bonelli Editore,
,"Crosa, Riccardo",M,"Disegni, Sceneggiatura","FR, IT","P, GN","Sergio Bonelli Editore, Les Humanoides Associes",
,"Francescutto, Paolo",M,Colori,IT,P,Sergio Bonelli Editore,
,"Labadessa, Mattia",M,Autore unico,IT,GN,"Shockdom, Feltrinelli Editore",
,"Barbucci, Alessandro",M,"Disegni, Autore unico",IT,P,"The Walt Disney Company, BAO Publishing",
,"Nigro, Sisto",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Perina, Alessandro",M,Disegni,IT,P,The Walt Disney Company,
,"Bosco, Marco",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Zemelo, Pietro",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Rigano, Giovanni",M,Disegni,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Panini, Gabriele",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Recchioni, Roberto",M,"Autore unico, Sceneggiatura",IT,"P, GN","Sergio Bonelli Editore, BAO Publishing, Feltrinelli Editore, Edizioni NPE",SRF - Scuola Romana dei Fumetti
,"Gaudiano, Stefano",M,Disegni,US,P,Dc Comics,
,"Nizzoli, Marco",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Oblomov Edizioni, Editions Delcourt, Editions Glenat",Scuola internazionale di Comics - Reggio Emilia
,"Santucci, Marco",M,Disegni,"IT, US",P,"Sergio Bonelli Editore, Panini Comics, Dc Comics, Marvel Comics",
,"Locatelli, Alberto",M,Disegni,IT,GN,"ReNoir Comics, It Comics",
,"Mammucari, Emiliano",M,"Disegni, Autore unico",IT,"P, GN","Sergio Bonelli Editore, Star Comics, BAO Publishing",The Sign - Comics & Arts Academy (Firenze)
,"Galliccia, Fabrizio",M,Disegni,IT,P,Sergio Bonelli Editore,SRF - Scuola Romana dei Fumetti
,"Matteoni, Giuseppe",M,Disegni,IT,P,Sergio Bonelli Editore,SRF - Scuola Romana dei Fumetti
,"Olivares, Giancarlo",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, The Walt Disney Company, Panini Comics, Editions Soleil",Scuola internazionale di Comics - Brescia
,"Coppola, Alessio",M,Disegni,"FR, IT","P, GN","The Walt Disney Company, Les Humanoides Associes, Le Editions Le Lombard",
,"Piani, Stefano",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Zoni, Ivan",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Medda, Michele",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Giardo, Sergio",M,Disegni,IT,P,Sergio Bonelli Editore,Scuola internazionale di Comics - Torino
,"Pianta, Elena",F,Disegni,IT,P,"Sergio Bonelli Editore, The Walt Disney Company, ReNoir Comics",Scuola di fumetti di Asti
,"Pagliarani, Gianluca",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Soleil, Editions Glenat",
,"Rizzato, Francesco",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Platano, Antonella",F,Disegni,IT,P,Sergio Bonelli Editore,
,"Fontana, Giorgio",M,Sceneggiatura,IT,"P, GN","The Walt Disney Company, Feltrinelli Editore",
,"Martusciello, Alessia",F,Disegni,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Venerus, Matteo",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Marini, Roberto",M,Disegni,IT,P,The Walt Disney Company,
,"Bormida, Andrea",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Gregorini, Gianluigi ",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Secchi, Riccardo",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Cucina, Cristiano",M,"Disegni, Chine",IT,P,"Sergio Bonelli Editore, The Walt Disney Company",SRF - Scuola Romana dei Fumetti
,"Gottardo, Alessandro",M,Disegni,IT,P,The Walt Disney Company,"Scuola internazionale di Comics - Padova, Dali Arts (Vicenza)"
,"Buscaglia, Alfio",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, ReNoir Comics, Editions Glenat",
,"Trono, Walter",M,Disegni,IT,P,"Sergio Bonelli Editore, It Comics",Scuola internazionale di Comics - Torino
,"Mazzoleni, Gabriele",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"De Luca, Giuseppe",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Zephyr Editions",
,"Asaro, Massimo",M,Disegni,IT,P,The Walt Disney Company,
,"Porcaro, Salvatore",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Glenat",
,"Mangiantini, Marcello",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Gugliotta, Gianluca",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Clair de Lune, Editions Glenat",
,"Malisan, Luca",M,"Disegni, Chine, Colori, Lettering","FR, IT",P,"Sergio Bonelli Editore, Editions Delcourt, Editions Glenat",
,"Sarchione, Antonio",M,Disegni,FR,GN,Editions Delcourt,
,"D'Antona, Giulio",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Perniola, Mirko",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,Scuola del fumetto (Verona)
,"Gizzi, Emanuele",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Ermetti, Libero",M,Disegni,IT,P,The Walt Disney Company,
,"Morrone, Manolo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Babich, Fabio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Panaro, Carlo",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Zanchi, Stefano",F,Autrice unica,IT,GN,"Coconino Press, Oblomov Edizioni",
,"Turati, Valeria",F,Disegni,IT,P,The Walt Disney Company,
