"","Nome d'arte","Nome","Sesso","Attivit‡","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso","ISBN"
"1",NA,"Abastanotti, Chiara","F","Autrice Unica","IT","GN","BeccoGiallo, MalEdizioni","Scuola internazionale di Comics - Brescia","NA"
"2",NA,"Abrignani, Francesco","M","Chine","IT","P","The Walt Disney Company","",""
"3",NA,"Acampora, Sergio","M","Autore Unico","IT","GN","Eretica","",""
"4",NA,"Accardi, Andrea","M","Disegni","IT","P, GN","Bao Publishing, Feltrinelli Editore, Sergio Bonelli Editore","",""
"5",NA,"Accatino, Fabrizio","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"6",NA,"Acciari, Claudio","M","Autore Unico","IT","GN","Bao Publishing","",""
"7",NA,"Acciarino, Gianluca","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola italiana di Comix (Napoli)",""
"8",NA,"Acunzo, Vincenzo","M","Disegni","IT, FR, USA","P, GN","Dark Horse Comics, DC Comics, …ditions Clair de Lune, …ditions Soleil, Marvel Comics, Sergio Bonelli Editore","Scuola internazionale di Comics - Napoli",""
"9",NA,"Adamo, Tino","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"10",NA,"Adragna, Giulia","F","Disegni","FR","GN","…ditions Jungle","",""
"11",NA,"Agrati, Francesca","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"12",NA,"Aicardi, Davide","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"13",NA,"Airaghi, Lola","F","Disegni","IT","P, GN","BD, Sergio Bonelli Editore","",""
"14",NA,"Albanese, Luca","M","Disegni","IT","GN","BeccoGiallo","",""
"15",NA,"Alberti, Mario","M","Disegni","IT, FR","P, GN","…ditions Delcourt, …ditions Glenat, …ditions Soleil, Les Humanoides Associes, Sergio Bonelli Editore","",""
"16",NA,"Albertini, Eliana","F","Autrice Unica","IT","GN","BeccoGiallo, Edizioni Zanetti, MalEdizioni","",""
"17",NA,"Albertini, Giorgio","M","Disegni, Sceneggiatura","IT, FR","P, GN","Casterman, …ditions Delcourt, Panini Comics","Scuola internazionale di Comics - Milano",""
"18","Sio","Albrigi, Simone","M","Autore Unico","IT","P, GN","Feltrinelli Editore, Shockdom","",""
"19",NA,"Alemanno, Matteo","M","Disegni","FR","GN","Dargaud, …ditions Dupuis, …ditions Glenat","Scuola internazionale di Comics - Padova",""
"20",NA,"Alessandrini, Giancarlo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"21",NA,"Alessi Anghini, Alessandro","M","Colori, Disegni, Sceneggiatura","IT","GN","Manfont, ReNoir Comics, Tatai Lab","",""
