"","x"
"1","Beccogiallo"
"2","Maledizioni"
"3","The Walt Disney Company Italia"
"4","Eretica"
"5","Sergio Bonelli Editore"
"6","BAO Publishing"
"7","Giangiacomo Feltrinelli Editore"
"8","Dark Horse Comics"
"9","Dc Comics"
"10","Marvel Comics"
"11","Soleil"
"12","Clair de Lune"
"13","Éditions Jungle"
"14","BD"
"15","Les Humanoides Associes"
"16","Delcourt"
"17","Glenat"
"18","Danilo Zanetti"
"19","Panini Comics"
"20","Casterman"
"21","Shockdom"
"22","Dargaud"
"23","Dupuis"
"24","ReNoir Comics"
"25","Tatai Lab"
"26","Manfont"
"27","IDW Publishing"
"28","Tunué"
"29","Hazard Edizioni"
"30","Astorina"
"31","Noise Press"
"32","Mosquito"
"33","It Comics"
"34","Cut Up Publishing"
"35","NPE"
"36","Coconino Press"
"37","GRRRz Comic Art Books"
"38","Titan Comics"
"39","Aspen Comics"
"40","Aftershock"
"41","American Mythology"
"42","Kleiner Flug"
"43","Star Comics"
"44","Edizioni Inkiostro"
"45","Bugs Comics"
"46","Petit à Petit"
"47","Vents d'Ouest"
"48","Sinnos"
"49","Eris"
"50","Time Bomb Comics"
"51","Scout Publishing"
"52","Rizzoli Lizard"
"53","Canicola"
"54","Dynamite"
"55","Nobrow Press"
"56","Oblomov Edizioni"
"57","Cronache di Topolinia"
"58","Ankama"
"59","001 Edizioni"
"60","Edizioni Dentiblù"
"61","Editoriale Cosmo"
"62","Kappalab"
"63","Round Robin"
"64","Bamboo"
"65","DBDO"
"66","Le Lombard"
"67","Futuropolis"
"68","L'Association"
"69","Cornélius"
"70","Lavieri"
"71","Diabolo"
"72","Advent Comics"
"73","AC Comics"
"74","Red Crow Comics"
"75","T-Pub Comics"
"76","Mangasenpai"
"77","Logos"
"78","Boom! Studios"
"79","Zenescope"
"80","Cerises & Coquelicots"
"81","SaldaPress"
"82","Kawama"
"83","Alias - il Manifesto"
"84","La Stampa/Tuttolibri"
"85","Kramiek"
"86","Paquet"
"87","Hollow Press"
"88","Il Battello a Vapore"
"89","Kennes"
"90","Albin Michel"
"91","Editoriale Aurea"
"92","Urban Comics"
"93","Linus"
"94","Little Nemo"
"95","Baldini e Castoldi"
"96","Sarbacane"
"97","FreakTown Comics"
"98","Sugar Skull Media"
"99","Arnoldo Mondadori Editore"
"100","Altrinformazione"
"101","Salani"
"102","Ici Même"
"103","Hoppipolla"
"104","Libreria Geografica"
"105","Sbam! Comics"
"106","Boom!Studios"
"107","Guymic"
"108","COMICON Edizioni"
"109","Centauria"
"110","Tridimensional SRL"
"111","Scout Comics"
"112","Magic Press Edizioni"
"113","Solferino"
"114","Valiant"
"115","Editions du Long Bec"
"116","Fandango Libri"
"117","AfterShock Comics"
"118","Smemoranda"
"119","Repubblica XL"
"120","Kamiti"
"121","Einaudi"
"122","Zephyr Editions"
"123","Piemme"
"124","Egmont"
"125","Ex Libris"
"126","Lombard"
"127","First Editions"
"128","Gallimard"
"129","Sandawe"
"130","Murano Publishing"
"131","Leviathan Labs"
"132","Noise Pres"
"133","Barta Edizioni"
"134","BDMusic"
"135","San Paolo Periodici"
"136","Weird Book"
"137","EF"
"138","Topipittori"
"139","Edizioni BD"
"140","J-Pop"
"141","Heavy Metal Magazine"
"142","Add Editore"
"143","Prankster Comics"
"144","Nobrow"
"145","Edgar Rice Burroughs"
