"","Nome d'arte","Nome","Sesso","Attività","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso","ISBN"
"927",NA,"Alessi Anghini, Alessandro","M","Colori, Disegni, Sceneggiatura","IT","GN","Manfont, ReNoir Comics, Tatai Lab","",""
"1113",NA,"Allegra, Gianni","M","Autore Unico","IT","GN","Tunué","",""
"855",NA,"Ambrosio, Raffaele","M","Sceneggiatura","FR","GN","Editions Mosquito","",""
"306",NA,"Anderle, Ernesto","M","Autore Unico","IT","GN","BeccoGiallo","",""
"1545",NA,"Ascione, Sarah","F","Lettering","IT","P","Panini Comics","",""
"765",NA,"Asteriti, Sergio","M","Disegni","IT","P","The Walt Disney Company","",""
"187",NA,"Bá, Gabriel","M","Sceneggiatura","IT","GN","BeccoGiallo","",""
"254",NA,"Baggi, Alessandro","M","Autore Unico","FR","GN","Editions Mosquito","",""
"1442",NA,"Baldisserotto, Alberto","M","Disegni","IT","GN","Shockdom","Dali Arts (Vicenza)",""
"1329",NA,"Balocco, Lorenzo","M","Disegni, Sceneggiatura","IT","GN","Cronache di Topolinia","",""
"219",NA,"Barbato, Paola","F","Sceneggiatura","IT","P, GN","Edizioni INKiostro, Sergio Bonelli Editore","",""
"417",NA,"Barbieri, Barbara","F","Sceneggiatura","FR, IT","GN","Casterman, Éditions Glenat, Edizioni Dentiblù","",""
"1948",NA,"Beauchard, Pierre-François","M","Autore Unico","FR, IT","GN","Bao Publishing, Coconino Press, Cornélius, Éditions le Lombard, Futuropolis, L'Association, Rizzoli Lizard","",""
"1490",NA,"Bendazzoli, Erika","F","Colori","IT","P","Sergio Bonelli Editore","",""
"164",NA,"Benevento, MIchele","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"864",NA,"Bermejo, Lee","M","Disegni","IT, USA","P","Marvel Comics, Panini Comics","",""
"129",NA,"Bertolucci, Federico","M","Disegni","FR, IT","P, GN","Ankama Éditions, Éditions Delcourt, Éditions Dupuis, Éditions Glenat, Éditions Soleil, ReNoir Comics, The Walt Disney Company","SRF - Scuola Romana dei Fumetti",""
"1351",NA,"Blengino, Luca","M","Sceneggiatura","FR, IT","P, GN","Éditions Delcourt, Éditions Soleil, Edizioni INKiostro, Star Comics","",""
"472",NA,"Bufi, Ennio","M","Disegni","IT","P, GN","Bao Publishing, ReNoir Comics, Sergio Bonelli Editore","",""
"1584",NA,"Cacciatore, Livio","M","Disegni","IT","P","The Walt Disney Company","",""
"1583",NA,"Cadonici, Letizia","F","Disegni","IT","P","Star Comics","",""
"263",NA,"Camagni, Giulio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1925",NA,"Cambi, Valentina","F","Sceneggiatura","IT","P","The Walt Disney Company","",""
"465",NA,"Camoriano, Paola","F","Autrice Unica","IT","GN","Tunué","",""
"150",NA,"Canepa, Barbara","F","Colori, Disegni","FR, IT","GN","Bao Publishing, Éditions Soleil, The Walt Disney Company, Tunué","",""
"743",NA,"Cannucciari, Bruno","M","Disegni","IT","P, GN","Sergio Bonelli Editore, Tunué","SRF - Scuola Romana dei Fumetti",""
"421",NA,"Cardinali, Vanessa","F","Autrice Unica","IT","GN","Bao Publishing","Scuola internazionale di Comics - Pescara",""
"712",NA,"Cardoselli, Stefano","M","Sceneggiatura","IT","GN","Cut Up Publishing","",""
"988",NA,"Carotenuto, Marta","F","Sceneggiatura","IT","GN","Edizioni INKiostro","",""
"883",NA,"Caselli, Stefano","M","Disegni","IT, USA","P","Marvel Comics, Panini Comics","SRF - Scuola Romana dei Fumetti",""
"299",NA,"Cavallini, Linda","F","Disegni","IT","GN","Panini Comics","",""
"1603",NA,"Cerri, Mara","F","Autrice Unica","IT","GN","Coconino Press","",""
"387",NA,"Cipriani, Massimo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"277",NA,"Corbetta, Silvia","F","Disegni","IT","P","Sergio Bonelli Editore","",""
"395",NA,"Cossi, Paolo","M","Autore Unico","IT","GN","BeccoGiallo, Hazard Edizioni","",""
"1453",NA,"Costa, Stefania","F","Disegni","IT","GN","Tunué","CIF - Centro internazionale del fumetto (Cagliari)",""
"1617",NA,"D'Ippolito, Francesco","M","Disegni, Sceneggiatura","IT, USA","P","IDW Publishing, The Walt Disney Company","Scuola internazionale di Comics - Genova",""
"823",NA,"Dalena, Antonello","M","Disegni","FR, IT","P, GN","Éditions le Lombard, Éditions Soleil, The Walt Disney Company","",""
"1025",NA,"Dalisi, Luca","M","Autore Unico","IT","GN","Lavieri Edizioni","",""
"1626",NA,"Daveti, Samuel","M","Sceneggiatura","FR, IT","GN","Éditions Soleil, Sarbacane, Shockdom","",""
"1631",NA,"De Martino, Fran","F","Autrice Unica","IT","GN","BD","",""
"1052",NA,"De Vincenzi, Alessia","F","Disegni","FR","GN","Éditions Delcourt, Petit à Petit","",""
"224",NA,"Della Monica, Raffaele","M","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"1937",NA,"Di Marco, Salvo","M","Disegni","IT","P","The Walt Disney Company","",""
"1046",NA,"Di Nicola, Fabrizio","M","Disegni","IT","GN","Edizioni NPE, Shockdom","",""
"1647",NA,"Di Padova, Elia","M","Disegni","IT","GN","Shockdom","Pencil ART (Bari)",""
"1108",NA,"Diana, Gianluca","M","Sceneggiatura","IT","GN","Barta Edizioni","",""
"1654",NA,"Ecuba, Ennio","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"62",NA,"Ermetti, Libero","M","Disegni","IT","P","The Walt Disney Company","",""
"156",NA,"Esposito, Denisio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1661",NA,"Fantini, Catia","F","Disegni","USA","P","Advent Comics","Scuola internazionale di Comics - Reggio Emilia",""
"533",NA,"Fecchi, Massimo","M","Disegni","IT","P","The Walt Disney Company","",""
"1879",NA,"Frigerio, Luca","M","Sceneggiatura","IT","GN","Noise Press","",""
"396",NA,"Fumasoli, Gianmarco","M","Sceneggiatura","IT","P","Bugs Comics","",""
"1678",NA,"Gabrielli, Giulia","F","Lettering","IT","GN","BD, Sonda, Tunué","",""
"1049",NA,"Garau, Stefano","M","Disegni","FR","GN","Éditions Glenat","",""
"745",NA,"Ghermandi, Francesca","F","Autrice Unica","FR, IT","GN","Coconino Press, Logos Edizioni, Seuill","",""
"717",NA,"Ghiglione, Marco","M","Disegni","IT","P","The Walt Disney Company","",""
"355",NA,"Ghion, Marco","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"652",NA,"Giacon, Massimo","M","Disegni","IT","GN","Panini Comics, Rizzoli Lizard","IED - Istituto Europeo di Disegni (Milano)",""
