"","Nome d'arte","Nome","Sesso","Attività","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso"
"1",NA,"Abastanotti, Chiara","F","Autrice unica","IT","GN","BeccoGiallo, MalEdizioni","Scuola internazionale di Comics - Brescia"
"2",NA,"Abrignani, Francesco","M","Chine","IT","P","The Walt Disney Company",NA
"3",NA,"Acampora, Sergio","M","Autore unico","IT","GN","Eretica",NA
"4",NA,"Accardi, Andrea","M","Disegni","IT","P, GN","Bao Publishing, Feltrinelli Editore, Sergio Bonelli Editore",NA
"5",NA,"Accatino, Fabrizio","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"6",NA,"Acciari, Claudio","M","Autore unico","IT","GN","Bao Publishing",NA
"7",NA,"Acciarino, Gianluca","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola italiana di Comix (Napoli)"
"8",NA,"Acunzo, Vincenzo","M","Disegni","IT, FR, USA","P, GN","Dark Horse Comics, DC Comics, Éditions Clair de Lune, Éditions Soleil, Marvel Comics, Sergio Bonelli Editore","Scuola internazionale di Comics - Napoli"
"9",NA,"Adamo, Tino","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"10",NA,"Adragna, Giulia","F","Disegni","FR","GN","Éditions Jungle",NA
"11",NA,"Agrati, Francesca","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"12",NA,"Aicardi, Davide","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"13",NA,"Airaghi, Lola","F","Disegni","IT","P, GN","BD, Sergio Bonelli Editore",NA
"14",NA,"Albanese, Luca","M","Disegni","IT","GN","BeccoGiallo",NA
"15",NA,"Alberti, Mario","M","Disegni","IT, FR","P, GN","Éditions Delcourt, Éditions Glenat, Éditions Soleil, Les Humanoides Associes, Sergio Bonelli Editore",NA
"16",NA,"Albertini, Eliana","F","Autrice unica","IT","GN","BeccoGiallo, Edizioni Zanetti, MalEdizioni",NA
"17",NA,"Albertini, Giorgio","M","Sceneggiatura, disegni","IT, FR","P, GN","Casterman, Éditions Delcourt, Panini Comics","Scuola internazionale di Comics - Milano"
"1772","Sio","Albrigi, Simone","M","Autore unico","IT","P, GN","Feltrinelli Editore, Shockdom",NA
"19",NA,"Alemanno, Matteo","M","Disegni","FR","GN","Dargaud, Éditions Dupuis, Éditions Glenat","Scuola internazionale di Comics - Padova"
"20",NA,"Alessandrini, Giancarlo","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"21",NA,"Alessi Anghini, Alessandro","M","Sceneggiatura, disegni, colori","IT","GN","Manfont, ReNoir Comics, Tatai Lab",NA
"22",NA,"Alexakis, Alessandra","F","Colori","IT, USA","P, GN","IDW Publishing, Shockdom",NA
"24",NA,"Algeri, Letizia","F","Disegni","IT","P","The Walt Disney Company",NA
"25",NA,"Alghisi, Stefano","M","Autore unico","IT","GN","MalEdizioni","Scuola internazionale di Comics - Brescia"
"26",NA,"Algozzino, Sergio","M","Autore unico, colori","IT","P, GN","BeccoGiallo, Sergio Bonelli Editore, Tunué","Scuola internazionale di Comics - Pescara/Roma, Scuola di fumetto (Associazione scuola di fumetto - varie sedi)"
"27",NA,"Ali, Roberto","M","Disegni","FR","GN","Dargaud, Éditions Delcourt","Scuola del fumetto (Milano)"
"28",NA,"Allegra, Gianni","M","Autore unico","IT","GN","Tunué",NA
"29",NA,"Allegretti, Angela","F","Autrice unica","IT","GN","Hazard Edizioni",NA
"30",NA,"Allo, Deborah","F","Colori","IT","GN","Tunué",NA
"31",NA,"Aloi, Sonia","F","Disegni","IT","GN","Tunué",NA
"33",NA,"Altariva, Roberto","M","Sceneggiatura","IT","P","Astorina, Sergio Bonelli Editore",NA
